,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
573,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
581,Mathathane,BW,75.06,light rain,-22.2687,28.7495,Selepswe Resort
587,Port Maria,JM,78.01,broken clouds,18.3685,-76.8895,Galina Breeze Hotel
588,Santa Isabel Do Rio Negro,BR,75.7,broken clouds,-0.4139,-65.0192,Hotel GSA
589,Tambilil,PH,84.2,broken clouds,5.9622,124.6697,Wilfredo Sotto Home
594,Faanui,PF,82.09,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
600,Itanhaem,BR,75.99,clear sky,-24.1831,-46.7889,Prainha Residência Artística
610,Accra,GH,82.4,few clouds,5.556,-0.1969,Accra City Hotel
613,Buala,SB,85.86,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
620,Pandan,PH,76.35,overcast clouds,14.0453,124.1694,Bonifacio Lodge
622,Itarema,BR,78.6,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
624,Boyolangu,ID,85.28,broken clouds,-8.1181,111.8935,Yos ega cv
630,Dhidhdhoo,MV,81.46,clear sky,6.8833,73.1,Dhidhoo beach
631,Pacatuba,BR,81.0,few clouds,-3.9842,-38.6203,Pousada das Andreias
635,Marawi,PH,80.01,broken clouds,7.9986,124.2928,Derogongan Residence
638,Lufilufi,WS,84.2,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
656,Kaeo,NZ,75.0,clear sky,-35.1,173.7833,Bushido Lodge
662,Kandrian,PG,86.04,overcast clouds,-6.2167,149.55,Kandrian Station
665,Sigli,ID,81.25,scattered clouds,5.3848,95.9609,Losmen Dua Mali
668,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
670,Peringat,MY,75.2,scattered clouds,6.0333,102.2833,Daseda Guest House
673,Santa Rosa,PH,81.0,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
677,Dingle,PH,80.69,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
678,Dagua,CO,77.0,clear sky,3.6569,-76.6886,Hostal Río Dagua
679,Makakilo City,US,82.4,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
680,Morondava,MG,78.08,clear sky,-20.2833,44.2833,La Case Bambou
