City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Ozinki,RU,51.1786,49.6769,24.3,98,100,18.05,overcast clouds
169,Maxixe,MZ,-23.8597,35.3472,87.8,66,20,11.5,few clouds
170,Alyangula,AU,-13.8483,136.4192,84.2,79,76,2.3,broken clouds
171,Zhezkazgan,KZ,47.8043,67.7144,20.86,95,89,6.55,overcast clouds
172,Wanning,CN,18.8003,110.3967,67.51,87,11,4.92,few clouds
173,Arraial Do Cabo,BR,-22.9661,-42.0278,93.2,51,0,23.02,clear sky
174,Tiznit,MA,29.5833,-9.5,70.02,46,0,6.38,clear sky
175,Geraldton,AU,-28.7667,114.6,77.0,69,0,16.11,clear sky
176,Kahului,US,20.8947,-156.47,69.8,83,90,18.41,overcast clouds
177,Havoysund,NO,70.9963,24.6622,26.6,74,75,12.66,light snow
178,Jacqueville,CI,5.2052,-4.4146,87.8,62,20,11.5,few clouds
179,Bosobolo,CD,4.1833,19.9,94.55,26,54,2.04,broken clouds
180,Goksun,TR,38.021,36.4973,48.2,76,75,6.91,broken clouds
181,Conroe,US,30.3119,-95.456,53.01,58,1,14.97,clear sky
182,Provideniya,RU,64.3833,-173.3,-8.34,87,100,22.77,light snow
183,Kununurra,AU,-15.7667,128.7333,78.8,83,40,3.89,scattered clouds
184,San Buenaventura,MX,27.0833,-101.5333,60.8,44,1,6.73,clear sky
185,Hailar,CN,49.2,119.7,-17.48,86,100,10.65,overcast clouds
186,Nikolskoye,RU,59.7035,30.7861,24.8,93,75,6.71,light snow
187,Sorland,NO,67.667,12.6934,32.0,64,40,12.66,scattered clouds
188,Condado,CU,21.8767,-79.8403,77.0,57,20,3.44,few clouds
189,San Carlos De Bariloche,AR,-41.1456,-71.3082,64.4,48,40,8.05,scattered clouds
190,Lishui,CN,28.4604,119.9103,55.44,84,21,2.66,few clouds
191,Ancud,CL,-41.8697,-73.8203,66.0,52,0,8.05,clear sky
192,Nadym,RU,65.5333,72.5167,-4.45,92,100,9.24,light snow
193,Fortuna,US,40.5982,-124.1573,52.0,93,90,25.32,light rain
194,Tinskoy,RU,56.1525,96.9161,-33.05,82,0,3.06,clear sky
195,Bodden Town,KY,19.2833,-81.25,82.99,74,40,11.5,scattered clouds
196,Severiano Melo,BR,-5.7772,-37.9578,95.11,34,74,7.52,moderate rain
197,Boca Do Acre,BR,-8.7522,-67.3978,77.65,84,95,2.37,overcast clouds
198,Skiathos,GR,39.1623,23.4909,57.0,59,100,5.01,overcast clouds
199,Kangayam,IN,11.0,77.5667,80.6,54,20,5.75,haze
200,Broken Hill,AU,-31.95,141.4333,77.0,25,63,11.5,broken clouds
201,Jacareacanga,BR,-6.2222,-57.7528,89.94,53,58,4.21,broken clouds
202,Lavrentiya,RU,65.5833,-171.0,-9.44,86,100,14.16,overcast clouds
203,Vanavara,RU,60.34,102.2797,-36.81,82,25,4.32,scattered clouds
204,Namtsy,RU,62.7161,129.6658,-41.8,60,97,2.24,mist
205,Belaya Gora,RU,68.5333,146.4167,-36.45,83,98,4.99,overcast clouds
206,Khani,GE,41.9563,42.9566,51.8,54,90,3.44,overcast clouds
207,Goundi,TD,9.3627,17.366,98.98,10,0,4.16,clear sky
208,Zherdevka,RU,51.8486,41.4606,25.66,95,90,14.79,overcast clouds
209,Carndonagh,IE,55.25,-7.2667,41.0,70,75,16.11,broken clouds
210,Athabasca,CA,54.7169,-113.2854,-4.0,84,0,3.44,clear sky
211,Snezhnogorsk,RU,69.1933,33.2531,-7.6,84,0,4.47,clear sky
212,Itum-Kale,RU,42.7356,45.5758,43.27,59,100,1.59,overcast clouds
213,Upernavik,GL,72.7868,-56.1549,0.07,90,100,7.81,overcast clouds
214,Castro,BR,-24.7911,-50.0119,73.31,75,100,8.1,overcast clouds
215,Pevek,RU,69.7008,170.3133,-28.73,84,69,1.83,broken clouds
216,Lagoa,PT,39.05,-27.9833,61.97,92,99,25.68,overcast clouds
217,Flinders,AU,-34.5833,150.8552,66.99,90,100,1.01,overcast clouds
218,Coahuayana,MX,18.7333,-103.6833,73.4,56,1,0.94,clear sky
219,Eyl,SO,7.9803,49.8164,74.08,71,0,15.84,clear sky
