City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Gonaives,HT,2021-01-27 16:17:56,19.45,-72.6833,84.11,50,1,1.05
128,Asau,RO,2021-01-27 16:19:05,46.4333,26.4,32.0,51,100,6.42
129,San Quintin,MX,2021-01-27 16:19:05,30.4833,-115.95,53.24,49,8,2.13
130,Port Alfred,ZA,2021-01-27 16:19:05,-33.5906,26.891,68.0,90,92,5.01
131,Uruzgan,AF,2021-01-27 16:19:06,32.8333,66.0,36.01,62,0,1.23
132,Samarai,PG,2021-01-27 16:19:06,-10.6167,150.6667,81.73,79,100,11.72
133,Victoria,HK,2021-01-27 16:15:14,22.2855,114.1577,64.0,85,30,1.01
134,Port Elizabeth,ZA,2021-01-27 16:16:32,-33.918,25.5701,66.2,94,75,13.8
135,Samarinda,ID,2021-01-27 16:19:07,-0.5,117.15,74.84,95,98,0.76
136,Kushima,JP,2021-01-27 16:19:07,31.4583,131.2333,44.01,93,4,4.0
137,Port Hawkesbury,CA,2021-01-27 16:19:07,45.6169,-61.3485,35.01,69,75,9.22
138,Mutoko,ZW,2021-01-27 16:19:07,-17.397,32.2268,71.92,83,75,4.7
139,Pirgos,GR,2021-01-27 16:19:07,35.1167,25.7178,53.01,31,23,21.77
140,Tignere,CM,2021-01-27 16:19:08,7.3667,12.65,87.21,14,16,8.72
141,Nyazepetrovsk,RU,2021-01-27 16:19:08,56.0531,59.6028,20.26,97,93,7.76
142,Havoysund,NO,2021-01-27 16:19:08,70.9963,24.6622,24.8,74,40,19.57
143,Murree,PK,2021-01-27 16:19:08,33.9073,73.393,53.01,46,25,1.01
144,Narsaq,GL,2021-01-27 16:19:08,60.9167,-46.05,35.6,32,75,32.21
145,Caluquembe,AO,2021-01-27 16:19:09,-13.7833,14.6833,78.04,32,60,8.25
146,Jurm,AF,2021-01-27 16:19:09,36.8648,70.8342,23.43,64,0,5.66
147,Airai,TL,2021-01-27 16:19:09,-8.9266,125.4092,61.75,100,100,3.44
148,Tosham,IN,2021-01-27 16:19:09,28.8833,75.9167,55.08,36,0,4.12
149,Princeton,US,2021-01-27 16:19:09,25.5384,-80.4089,82.99,57,20,8.05
150,Omboue,GA,2021-01-27 16:19:10,-1.5746,9.2618,78.78,84,100,7.67
151,Santa Helena De Goias,BR,2021-01-27 16:19:10,-17.8136,-50.5969,85.35,58,94,7.78
152,Dudinka,RU,2021-01-27 16:19:10,69.4058,86.1778,-20.85,84,100,4.79
153,Atambua,ID,2021-01-27 16:19:10,-9.1061,124.8925,75.06,87,100,3.51
154,Kavieng,PG,2021-01-27 16:19:10,-2.5744,150.7967,83.32,73,71,10.22
155,Lagoa,PT,2021-01-27 16:19:11,39.05,-27.9833,60.94,81,32,27.47
156,Belmonte,BR,2021-01-27 16:19:11,-15.8631,-38.8828,84.2,58,40,8.05
157,Jizan,SA,2021-01-27 16:19:11,17.3333,42.6667,78.8,73,0,10.36
158,The Valley,AI,2021-01-27 16:15:57,18.217,-63.0578,84.2,61,20,17.27
159,Bilma,NE,2021-01-27 16:19:11,18.6853,12.9164,80.35,14,0,10.71
160,Ponta Do Sol,PT,2021-01-27 16:19:12,32.6667,-17.1,66.2,82,20,9.22
161,Elbistan,TR,2021-01-27 16:19:12,38.2059,37.1983,31.98,93,98,6.76
162,Colac,AU,2021-01-27 16:19:12,-38.3333,143.5833,59.0,90,92,11.01
163,Kaeo,NZ,2021-01-27 16:19:12,-35.1,173.7833,64.99,89,15,3.0
164,Cockburn Town,TC,2021-01-27 16:19:12,21.4612,-71.1419,75.97,76,1,17.67
165,Cherskiy,RU,2021-01-27 16:19:13,68.75,161.3,-24.79,84,100,3.38
166,Isangel,VU,2021-01-27 16:19:13,-19.55,169.2667,80.6,83,75,15.26
167,Cordoba,AR,2021-01-27 16:18:34,-31.4135,-64.1811,95.0,48,40,4.61
168,Deer Lake,CA,2021-01-27 16:19:13,49.1667,-57.4316,30.2,74,75,6.91
169,Atyrau,KZ,2021-01-27 16:19:13,47.1167,51.8833,23.0,74,0,17.9
170,Orleans,US,2021-01-27 16:19:14,30.0335,-89.9501,66.99,88,90,12.66
171,Talnakh,RU,2021-01-27 16:19:14,69.4865,88.3972,-19.39,84,100,4.09
172,Macau,MO,2021-01-27 16:19:14,22.2006,113.5461,64.4,82,0,8.05
173,Margate,GB,2021-01-27 16:19:14,51.3813,1.3862,48.99,81,100,8.01
174,Vila,PT,2021-01-27 16:19:15,42.0304,-8.1588,55.0,96,100,5.79
175,Soyo,AO,2021-01-27 16:19:15,-6.1349,12.3689,87.8,70,40,6.91
176,Asosa,ET,2021-01-27 16:19:15,10.0667,34.5333,76.59,31,98,1.45
177,Sacramento,US,2021-01-27 16:14:24,38.4666,-121.3177,46.99,81,90,17.27
178,Castro,BR,2021-01-27 16:17:10,-24.7911,-50.0119,77.11,77,100,10.33
179,Plettenberg Bay,ZA,2021-01-27 16:19:16,-34.0527,23.3716,65.17,85,100,8.68
180,Mount Gambier,AU,2021-01-27 16:19:16,-37.8333,140.7667,55.4,94,0,5.75
181,Yellowknife,CA,2021-01-27 16:19:16,62.456,-114.3525,-11.0,77,90,3.44
182,Mar Del Plata,AR,2021-01-27 16:19:16,-38.0023,-57.5575,73.4,53,20,16.11
183,Taiyuan,CN,2021-01-27 16:19:17,37.8694,112.5603,24.8,24,0,13.42
184,Lorengau,PG,2021-01-27 16:19:17,-2.0226,147.2712,82.0,78,100,7.11
185,Andenes,NO,2021-01-27 16:19:17,69.3143,16.1194,28.4,69,0,14.97
186,Saint-Joseph,RE,2021-01-27 16:19:17,-21.3667,55.6167,82.4,69,0,10.36
187,Kruisfontein,ZA,2021-01-27 16:19:17,-34.0033,24.7314,66.0,91,71,5.99
188,Blagodatnoye,RU,2021-01-27 16:19:18,45.3997,42.5867,32.0,100,75,22.37
189,Kaset Sombun,TH,2021-01-27 16:16:26,16.2805,101.9542,75.47,44,14,1.83
190,Raga,SS,2021-01-27 16:19:18,8.4596,25.678,90.61,20,45,4.52
191,Mayo,US,2021-01-27 16:19:18,38.8876,-76.5119,42.01,65,90,5.75
192,Hasaki,JP,2021-01-27 16:19:18,35.7333,140.8333,41.0,65,75,11.5
193,Tasiilaq,GL,2021-01-27 16:19:19,65.6145,-37.6368,21.2,38,90,29.93
194,Agirish,RU,2021-01-27 16:19:19,61.9247,63.0231,1.45,94,99,5.37
195,Richards Bay,ZA,2021-01-27 16:19:19,-28.783,32.0377,75.25,93,100,9.17
196,Thinadhoo,MV,2021-01-27 16:19:19,0.5333,72.9333,81.72,77,42,19.98
197,Puerto Madero,MX,2021-01-27 16:19:19,14.7208,-92.4215,86.0,62,1,5.75
198,Mount Isa,AU,2021-01-27 16:19:20,-20.7333,139.5,82.4,65,35,5.75
199,Trincomalee,LK,2021-01-27 16:19:20,8.5711,81.2335,78.51,71,100,13.56
200,Talara,PE,2021-01-27 16:19:20,-4.5772,-81.2719,84.2,54,0,14.97
201,Buluang,PH,2021-01-27 16:19:20,13.3068,123.3425,74.25,90,90,4.68
202,Bathsheba,BB,2021-01-27 16:19:20,13.2167,-59.5167,82.4,61,40,21.85
203,Aklavik,CA,2021-01-27 16:19:21,68.2191,-135.0107,-13.0,84,100,2.3
204,La Palma,US,2021-01-27 16:18:43,33.8464,-118.0467,50.0,57,90,5.75
205,Abu Samrah,SY,2021-01-27 16:19:21,35.3029,37.1841,53.53,46,100,7.27
206,Mata,PT,2021-01-27 16:19:21,40.683,-7.4592,57.0,91,100,1.01
207,Port Lincoln,AU,2021-01-27 16:19:21,-34.7333,135.8667,63.75,78,0,13.56
208,Oneida,US,2021-01-27 16:19:22,43.2001,-75.4663,26.01,80,90,12.66
209,Balykshi,KZ,2021-01-27 16:18:34,47.0667,51.8667,23.0,74,0,17.9
210,Daru,PG,2021-01-27 16:19:22,-9.0763,143.2092,78.96,85,100,11.12
211,Arroyo,ES,2021-01-27 16:19:22,41.6096,-4.7969,59.0,82,75,10.36
212,Labuhan,ID,2021-01-27 16:19:22,-6.8844,112.2051,78.58,85,100,9.75
213,Manzanillo,CU,2021-01-27 16:19:23,20.3433,-77.1167,82.13,50,0,1.7
214,Hudiksvall,SE,2021-01-27 16:16:52,61.729,17.1036,15.46,95,1,5.1
215,Saskylakh,RU,2021-01-27 16:19:23,71.9167,114.0833,-40.67,80,77,2.48
216,El Cobre,CU,2021-01-27 16:19:23,20.0489,-75.9469,82.4,65,20,4.61
217,Ostrovnoy,RU,2021-01-27 16:19:23,68.0531,39.5131,9.64,94,100,20.22
218,Bushehr,IR,2021-01-27 16:19:24,28.9684,50.8385,62.6,72,0,4.61
219,Vardo,NO,2021-01-27 16:19:24,70.3705,31.1107,24.8,74,75,25.32
220,Rio Claro,BR,2021-01-27 16:15:26,-22.4114,-47.5614,89.01,44,99,1.99
221,Cam Ranh,VN,2021-01-27 16:19:24,11.9214,109.1591,73.4,83,40,9.22
222,Caceres,ES,2021-01-27 16:19:24,39.522,-6.3748,66.0,78,76,3.0
223,Ganzhou,CN,2021-01-27 16:19:25,28.8184,115.4327,46.29,84,100,3.15
224,Hailar,CN,2021-01-27 16:19:25,49.2,119.7,-17.34,87,92,5.19
225,Sokolo,ML,2021-01-27 16:19:25,14.7328,-6.1219,93.51,8,0,10.22
226,Sibolga,ID,2021-01-27 16:19:25,1.7427,98.7792,76.44,83,98,3.56
227,Las Palmas,ES,2021-01-27 16:19:25,28.4204,-14.0131,68.0,83,20,9.22
228,Deputatskiy,RU,2021-01-27 16:19:26,69.3,139.9,-30.95,85,100,0.81
229,Kodinsk,RU,2021-01-27 16:19:26,58.6881,99.1844,-11.74,87,100,11.72
230,Straseni,MD,2021-01-27 16:19:26,47.1414,28.6103,32.0,93,90,23.02
231,Touros,BR,2021-01-27 16:19:26,-5.1989,-35.4608,87.8,58,40,18.41
232,Los Andes,CL,2021-01-27 16:19:27,-32.8337,-70.5983,84.99,65,0,3.0
233,Veinticinco De Mayo,AR,2021-01-27 16:19:27,-35.4323,-60.1727,97.0,68,0,13.0
234,Khorixas,NA,2021-01-27 16:19:27,-20.3667,14.9667,84.96,41,40,18.45
235,Lesnoy,RU,2021-01-27 16:19:27,57.6198,63.0784,20.25,97,96,8.05
236,Poltavka,RU,2021-01-27 16:19:28,54.3663,71.7632,18.48,97,74,9.95
237,Faya,SA,2021-01-27 16:19:28,18.3851,42.4509,62.6,72,0,9.22
238,Taltal,CL,2021-01-27 16:19:28,-25.4,-70.4833,72.81,58,13,7.94
239,Tricase,IT,2021-01-27 16:19:28,39.9304,18.3553,42.01,67,6,18.99
240,Severo-Kurilsk,RU,2021-01-27 16:19:28,50.6789,156.125,24.26,93,75,3.2
241,Vila Velha,BR,2021-01-27 16:19:29,-20.3297,-40.2925,87.8,55,40,14.97
242,Poso,ID,2021-01-27 16:19:29,-1.3959,120.7524,80.01,72,67,3.2
243,Mahina,PF,2021-01-27 16:19:29,-17.5065,-149.489,75.2,83,40,1.14
244,Gubbio,IT,2021-01-27 16:19:29,43.3545,12.5725,39.99,61,96,1.01
245,Cruzeiro Do Sul,BR,2021-01-27 16:19:29,-29.5128,-51.9853,79.0,91,100,3.0
246,Mbekenyera,TZ,2021-01-27 16:19:30,-10.0,38.9833,74.37,94,79,5.61
247,Steinbach,DE,2021-01-27 16:19:30,50.1667,8.5667,37.0,100,75,9.22
248,Kesan,TR,2021-01-27 16:19:30,40.8558,26.6303,39.2,65,40,4.61
249,Poronaysk,RU,2021-01-27 16:18:16,49.2167,143.1167,12.54,95,100,17.65
250,Saldanha,ZA,2021-01-27 16:19:30,-33.0117,17.9442,73.4,46,0,21.85
251,Tuatapere,NZ,2021-01-27 16:19:31,-46.1333,167.6833,53.01,76,90,23.0
252,Dingle,PH,2021-01-27 16:19:31,10.9995,122.6711,75.79,90,100,7.72
253,Bani,DO,2021-01-27 16:19:31,18.2833,-70.3333,84.2,65,20,11.5
254,Bandarbeyla,SO,2021-01-27 16:19:31,9.4942,50.8122,74.44,72,76,19.17
255,Karratha,AU,2021-01-27 16:19:31,-20.7377,116.8463,84.54,59,0,16.84
256,Sakata,JP,2021-01-27 16:19:32,38.9167,139.855,33.94,83,39,9.33
257,Moerai,PF,2021-01-27 16:19:32,-22.4333,-151.3333,80.04,74,10,13.71
258,Ahipara,NZ,2021-01-27 16:19:32,-35.1667,173.1667,62.38,91,38,1.99
259,Katsuura,JP,2021-01-27 16:17:21,35.1333,140.3,48.0,71,75,11.5
260,Kedgwick,CA,2021-01-27 16:19:32,47.6446,-67.3434,28.4,96,93,1.14
261,Skelleftea,SE,2021-01-27 16:19:33,64.7507,20.9528,21.2,86,75,8.05
262,Butaritari,KI,2021-01-27 16:19:33,3.0707,172.7902,80.13,79,17,10.85
263,Kushmurun,KZ,2021-01-27 16:19:33,52.4503,64.6311,18.59,96,86,11.48
264,Hobyo,SO,2021-01-27 16:19:33,5.3505,48.5268,76.64,73,76,20.58
265,Sitka,US,2021-01-27 16:19:33,57.0531,-135.33,24.8,46,1,5.75
266,Olafsvik,IS,2021-01-27 16:19:34,64.8945,-23.7142,30.83,88,100,19.26
267,Hit,IQ,2021-01-27 16:19:34,33.6416,42.8251,58.91,34,100,8.39
268,Husavik,IS,2021-01-27 16:19:34,66.0449,-17.3389,19.4,86,90,3.44
269,Sabang,ID,2021-01-27 16:19:34,5.8933,95.3214,81.63,78,100,8.01
270,Zapolyarnyy,RU,2021-01-27 16:19:35,69.4154,30.8136,21.2,73,75,14.97
271,Coffs Harbour,AU,2021-01-27 16:16:05,-30.3,153.1333,73.4,94,90,3.44
272,Haskovo,BG,2021-01-27 16:19:35,41.9403,25.5694,36.0,82,100,8.57
273,Atar,MR,2021-01-27 16:19:35,20.5169,-13.0499,93.2,18,0,13.8
274,Wanning,CN,2021-01-27 16:19:35,18.8003,110.3967,68.31,82,23,4.74
275,Norman Wells,CA,2021-01-27 16:19:36,65.282,-126.8329,-31.0,75,40,2.3
276,Morondava,MG,2021-01-27 16:19:36,-20.2833,44.2833,83.52,77,98,8.39
277,Nelson,NZ,2021-01-27 16:15:13,-41.2833,173.2833,60.01,83,0,1.99
278,Victor Harbor,AU,2021-01-27 16:19:37,-35.5667,138.6167,64.99,81,23,9.15
279,Ca Mau,VN,2021-01-27 16:19:37,9.1769,105.15,76.44,82,93,6.76
280,Krasnoselkup,RU,2021-01-27 16:19:37,65.7,82.4667,-37.26,83,73,4.03
281,San Patricio,US,2021-01-27 16:19:37,28.017,-97.5169,64.4,39,75,14.97
282,Neyshabur,IR,2021-01-27 16:17:45,36.2133,58.7958,38.55,57,0,0.96
283,Kautokeino,NO,2021-01-27 16:19:38,69.0125,23.0412,10.18,94,100,13.44
284,Fjerritslev,DK,2021-01-27 16:19:38,57.0813,9.2664,35.01,100,90,4.61
285,Beyneu,KZ,2021-01-27 16:19:38,45.3167,55.2,32.07,95,0,18.21
286,Playas,EC,2021-01-27 16:19:38,-2.6333,-80.3833,80.55,70,58,4.36
287,Ketchikan,US,2021-01-27 16:19:39,55.3422,-131.6461,24.8,86,1,6.91
288,Lukovetskiy,RU,2021-01-27 16:19:39,64.2956,41.9211,32.0,100,90,2.24
289,Hofn,IS,2021-01-27 16:19:39,64.2539,-15.2082,28.4,59,0,12.66
290,Tongzi,CN,2021-01-27 16:19:39,28.7829,105.0877,49.59,72,28,0.65
291,Zhanakorgan,KZ,2021-01-27 16:19:39,43.9098,67.2495,26.28,88,0,5.06
292,Presidencia Roque Saenz Pena,AR,2021-01-27 16:19:40,-26.7852,-60.4388,86.0,62,5,4.0
293,Argelia,CO,2021-01-27 16:19:40,2.2556,-77.2488,74.82,66,58,1.61
